work,word,count,total,fpm,source_id,title,author,pub_date
3938,ballad,13,50146,259.2430104096039,uc1.b3288179,Specimens of the British poets;,"Campbell, Thomas, 1777-1844. ed",1819
2567,ballad,60,232431,258.1411257534494,njp.32101037977384,History of English poetry from the twelfth to the close of the sixteen century,"Warton, Thomas, 1728-1790",1871
2570,ballad,31,120654,256.9330482205315,njp.32101037954649,English verse :,"Alden, Raymond Macdonald, 1873-1924, ed",1904
1510,ballad,1,3911,255.68908207619538,mdp.39015033689855,Bibliographical sketch of Anglo-Saxon literature.,Columbia University. Dept. of English and Comparative Literature,1910
3986,ballad,8,31329,255.35446391522234,uc1.b2601806,Picaresque dramas of the 17th and 18th centuries ...,"Pabisch, Marie",1909
1714,ballad,13,51082,254.49277632042595,mdp.39015029915348,"The spirit of the American revolution, as revealed in the poetry of the period;","Patterson, Samuel White, b. 1883",1915
922,ballad,28,110172,254.14805939803216,loc.ark:/13960/t95728s51,History of American verse (1610-1897),"Onderdonk, James L. (James Lawrence), 1854-1899",1901
3891,ballad,59,232836,253.39724097648133,uc1.b3515395,History of English poetry from the 12th to the close of the 16th century,"Warton, Thomas, 1728-1790",1871
967,ballad,5,19774,252.85728734702133,loc.ark:/13960/t6d236821,"Introductory notes to the study of poetry,","Kent, Charles William, 1860-",1895
1471,ballad,26,102981,252.47375729503503,mdp.39015042015167,"The teaching of English in the elementary and the secondary school,","Chubb, Percival, 1860-1960",1903
1335,ballad,10,39868,250.8277315139962,mdp.39015059372360,Some contemporary poets (1920),"Monro, Harold, 1879-1932",1920
981,ballad,13,51899,250.48652189830247,loc.ark:/13960/t5j96rp4h,The spirit of the American revolution as revealed in the poetry of the period;,"Patterson, Samuel White, b. 1883",1915
1623,ballad,26,103805,250.46963055729492,mdp.39015030933454,The teaching of English in the elementary and the secondary school,"Chubb, Percival, 1860-1960",1906
2615,ballad,48,191666,250.4356536892302,njp.32101010945226,The Metrical Forms Used by Certain Victorian Poets,"Fletcher, Robert H.",1908
4333,ballad,7,27952,250.42930738408702,uc1.$b263497,The elementary course in English;,"Hosic, James Fleming, 1870-1959",1915
1910,ballad,19,76969,246.85262898049865,mdp.39015010771882,"A guide to the middle English metrical romances dealing with English and Germanic legends, and with the cycles of Charlemagne and of Arthur;","Billings, Anna Hunt",1901
